ticker,av_close,av_volume,av_dividend_amount,ATR,OBV
PETR4,29.454876232201535,40267296.56889376,0.007994392113910186,1.180330777656079,-7019952533.514348
VALE3,51.765511500547646,10637711.075575028,0.010073428258488499,1.9567973713033955,-411960553.0630887
ITUB4,45.79392102036348,20212720.85526604,0.0035312896868841693,1.6419792861834903,158654961.87300196
BBDC4,28.748749945259476,24036710.032844316,0.0036065250711626888,1.0223461791110138,-1118620706.427414
B3SA3,18.948531279251167,37980148.84139366,0.0011576703068122724,0.8105136505460218,-1476929992.4144566
ABEV3,20.533722334004022,18202636.61971831,0.0022361770623742457,0.597122736418511,556097046.5191147
MGLU3,50.64011972065181,51742734.621882275,0.00014396408380445625,3.093489058862654,-738940277.4925175
GNDI3,56.38293432203389,3490361.5423728814,0.0026492584745762713,2.678167372881356,-53965277.00423729
LREN3,46.65151958577217,3585217.328905898,0.00160029266096353,2.0628748311571363,147425528.6407024
WEGE3,25.468952215032356,2473300.727725236,0.0008968392234942758,0.9757740169238427,-182473250.50920856
BBAS3,32.00984186250824,7995975.444761695,0.006941555018669009,1.30770041730727,-712627633.0278937
VVAR3,11.14682087781732,13867263.280743377,0.00011672597864768682,0.6071648873072361,-1917731864.310004
BBDC3,252.00636810457522,4124591.3185185185,0.0033186274509803917,437.8995081699347,-293094395.3703704
CIEL3,25.414327761711974,14738253.049739733,0.004671255060728744,0.8944117698091383,2349842571.185367
BRDT3,23.261961770623742,7267955.633802817,0.0077187122736418505,1.0218712273641852,-228483384.50704226
SUZB3,45.72359769286229,6716792.141312185,0.0029761355443403024,2.010086517664023,117781878.15428983
JBSS3,13.324197407776673,7722272.890329013,0.001858100697906281,0.6353065802592223,-230226798.0037388
CSNA3,28.886229960578188,7421894.085413929,0.004004336399474375,1.4273085851949188,265256877.00919843
MRFG3,10.986092681691568,4336541.315776146,0.0015025829323879463,0.5705748290706507,-513768661.79209924
GGBR4,22.046196009647005,8282967.435650077,0.003062617846963386,0.9933918000438502,-17158949.821968865
RADL3,38.888904963650035,1832433.43569817,0.00038347956881423925,1.6442724492353975,-73529739.27926798
CPFE3,27.767051478641843,1224312.860898138,0.006902015334063527,0.8873362541073384,-188640523.16516978
KLBN11,19.935286514433436,4404425.549332185,0.0028264541146057736,0.7353856096510125,2882954.9332184405
EMBR3,16.737406839105656,3695288.5988601493,0.0008897632617273126,0.6801972818939062,507702408.8423937
HYPE3,25.34251792828685,2761128.3359893756,0.0023160690571049137,0.9536281540504647,-81309852.60876495
BTOW3,0.6290256013745704,79956.6615120275,0.00015515463917525774,0.16788384879725085,5849868.3281786945
EQTL3,31.658326960914653,2466370.9090667376,0.0011540813613400694,1.0001281042275991,-186960104.1839936
LAME4,27.028269139324774,26211990.833095577,0.0002338563956252972,1.2625011887779363,-6874012.7403708985
NATU3,84781.38462800758,2364277.588807786,0.001572397945390646,309.0911840767775,83729930.21167883
CVCB3,25.379499021276597,4716965.256595745,0.0017491063829787234,1.2151460425531915,493088484.2655319
IRBR3,30.510755494505492,18340884.51785714,0.04039182692307692,1.354903846153846,2624334764.352335
RAIL3,21.54588834736376,5829277.643774922,0.0003888568896765618,1.004962339388569,-269581197.6838724
GOLL4,21.543953131844066,3467170.2831800263,0.0008426850635129216,1.2042049934296977,509886332.73302674
TIMP3,9.354219030520648,2966136.905873301,0.0007304693511156707,0.40804052321107975,66889060.044626825
ELET6,21.323140372398683,97182374.99145673,0.006341226725082146,0.9687232858707558,-718626017.0010953
CSAN3,37.837420616658996,2236082.4192360793,0.0009498849516797057,1.7911803957662216,-44396891.8150023
CESP6,23.70586742620404,88347860.6716727,0.0037194717762817193,0.9684023821853961,-1781657599.29855
BRKM5,23.544231866929312,1987563.1645874372,0.004519369665134602,1.1041785511052746,186789682.5082075
CPLE6,30.015418309242225,8818315.41108191,0.0010429478756022775,1.202472623740692,-273422404.24485326
ECOR3,10.96789361051666,2992663.3925405075,0.001601742586365026,0.4456863344542953,-24064383.221644755
HAPV3,27.256596244131455,27427042.640062597,0.00017402190923317682,1.3587323943661973,-104380841.75743349
YDUQ3,23.107814192849403,2476520.0804442037,0.0015375406283856987,1.1526489707475622,-123827293.0576923
GOAU4,21.853582547686912,6291373.544398158,0.002678140758605569,1.004084630563473,-366848682.5913177
MRVE3,14.658393492628369,4173302.4895780375,0.0017464158617183528,0.8186781901372648,55839036.79028978
BBSE3,27.983578352180935,4779848.3037156705,0.008188449111470113,0.9256098546042003,-384046811.26817447
CCRO3,23.158352683461118,4757159.592552027,0.0030631763417305583,0.9508762322015334,-11225013.682146769
AZUL4,30.96086161879895,6987488.315926893,0.0,4.559451697127937,303121030.9399478
RENT3,35.05051699126931,2466962.130960376,0.0012615849563465413,1.5194589209760465,-213462964.75598836
